NAME	POS	ML	A/H	TEAM	OPP	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	OVER	UNDER
Erik Stevenson	G	-155	A	WVU	MD	reb	3.5	3.6	3.78 - 3.0	3.38 - 3.47	38%	40%	3,3,2,6,5,2,1,6,1,6	-170	'+125
Filip Rebraca	F	'+105	H	IOWA	AUB	ast	1.5	2.1	2.42 - 1.54	1.57 - 2.44	69%	60%	2,1,2,5,1,0,2,2,3,2	-160	'+120
Filip Rebraca	F	'+105	H	IOWA	AUB	reb	7.5	7.6	7.79 - 7.23	8.07 - 7.17	53%	20%	7,7,8,3,7,7,2,8,5,2	-120	-110
Filip Rebraca	F	'+105	H	IOWA	AUB	pts	14.5	14.1	14.05 - 14.08	13.29 - 14.67	44%	60%	20,10,16,18,13,10,10,16,17,13	-130	'+100
Gradey Dick	G	-5000	H	KU	HOW	reb	4.5	4.9	5.07 - 4.29	4.82 - 4.96	65%	60%	8,5,3,2,5,6,6,5,3,5	-135	'+100
Gradey Dick	G	-5000	H	KU	HOW	3ptm	1.5	2.3	2.56 - 1.43	2.0 - 2.48	65%	60%	0,2,4,2,0,5,3,2,4,0	-205	'+150
Gradey Dick	G	-5000	H	KU	HOW	pts	14.5	14.1	15.07 - 10.57	14.73 - 13.87	53%	40%	6,15,18,6,4,16,19,16,26,8	-115	-115
Gradey Dick	G	-5000	H	KU	HOW	ast	1.5	1.6	1.78 - 0.86	1.64 - 1.57	44%	20%	1,1,1,0,4,3,2,0,3,0	'+140	-190
Hakim Hart	G	'+135	H	MD	WVU	reb	3.5	4.2	4.29 - 4.08	3.75 - 4.48	70%	40%	2,3,4,1,5,4,4,4,5,6	-145	'+110
Hakim Hart	G	'+135	H	MD	WVU	pts	10.5	11.5	13.29 - 8.42	8.33 - 13.33	52%	20%	16,8,3,5,10,20,14,13,23,12	-130	'+100
Hakim Hart	G	'+135	H	MD	WVU	ast	3.5	2.5	3.05 - 1.67	2.25 - 2.71	27%	40%	4,3,2,1,7,6,1,3,4,4	'+135	-180
Hakim Hart	G	'+135	H	MD	WVU	3ptm	1.5	1.2	1.29 - 1.08	1.08 - 1.29	27%	40%	3,1,1,0,2,2,4,2,2,1	'+130	-175
